id,question,answer
1,How can I reserve a book / DVD / Video?,"Only if the needed book/DVD/video is checked out (on-loan), you may reserve it through the Library Catalog.
To reserve a book/DVD/video please follow the below steps:
Search for the needed item in the Library Catalog
If the item is on-loan (DUE_date), click on the top left: Hold this item
You will be prompted to enter your username and password to access your personal library account.
Once logged in, select again the item, and choose the location you want to pick it from, and click on ""Request Selected"".
A pop-up window will open confirming the request, click on ""OK"".
When the item becomes available, you will receive an e-mail notice from the library. The item will be held for you at the Circulation desk for 2 days.
For more information, contact the Circulation desk by email: libcirc@aub.edu.lb or by phone 01-350000 Ext. 2618."
33,Rent a book / DVD / Video,"Only if the needed book/DVD/video is checked out (on-loan), you may reserve it through the Library Catalog.
To reserve a book/DVD/video please follow the below steps:
Search for the needed item in the Library Catalog
If the item is on-loan (DUE_date), click on the top left: Hold this item
You will be prompted to enter your username and password to access your personal library account.
Once logged in, select again the item, and choose the location you want to pick it from, and click on ""Request Selected"".
A pop-up window will open confirming the request, click on ""OK"".
When the item becomes available, you will receive an e-mail notice from the library. The item will be held for you at the Circulation desk for 2 days.
For more information, contact the Circulation desk by email: libcirc@aub.edu.lb or by phone 01-350000 Ext. 2618."
2,How do I find articles from peer reviewed journals?,"While searching in a database or in Search All, refine your search by ""Peer Reviewed"".For more information, kindly drop by the Reference Desk or call ext: 2620."
34,Credible / Reviewed articles,"While searching in a database or in Search All, refine your search by ""Peer Reviewed"".For more information, kindly drop by the Reference Desk or call ext: 2620."
3,How do I cite my sources?,"Kindly access our How to Cite your Sources research guide to learn more about citation, citation styles, auto-citation machines, bibliographic tools, plagiarism and academic integrity."
4,"Resources or guidelines to help me write a manuscript for my completed thesis? Are there any resources or guidelines to help me write a manuscript for my completed thesis? I am planning on publishing my study and was wondering if there are any guidelines or resources to assist me in writing my manuscript.","To publish your thesis as an article, first you need to adapt the content to fit the style of an article, and second you need to select the journal in which you will be publishing, then write the article. Each journal has its own rules and guidelines in terms of layout and referencing.
Check the following article for some tips, as well as this guide.
There is also this article from Elsevier that you might find helpful."
5,What are the library opening hours?,Refer to this page for updated library hours: https://www.aub.edu.lb/Libraries/Pages/Hours.aspx 
35,Opening hours / closing time?,Refer to this page for updated library hours: https://www.aub.edu.lb/Libraries/Pages/Hours.aspx 
6,Can Non-AUB users access the Resources?,"Non-AUB users may obtain a library card at the Access Services Librarian's office, Jafet Library. Tel. 350 000 (ext.2619), e-mail: circulation@aub.edu.lb.
For additional information on membership categories and fees, kindly check the list of External Users."
36,Not an AUB student access the library,"Non-AUB users may obtain a library card at the Access Services Librarian's office, Jafet Library. Tel. 350 000 (ext.2619), e-mail: circulation@aub.edu.lb.
For additional information on membership categories and fees, kindly check the list of External Users."
