name,description
,
5 Index of Lebanon (2 simultaneous users),An online directory of Lebanese companies and businesses.<br />  <br />  Accessible through username and password available at the reference department.
ABI/INFORM Collection,"<p>ABI/Inform Complete is a business database, that provide access to titles related to business and financial information, management techniques, business trends, management practice and theory. The database includes scholarly journals, trade journals, newspapers, dissertations, working papers, business periodicals, annual company reports, market research reports and more.&nbsp;<br><br>Availability: Full-text and bibliographic citations<br>&nbsp;</p>"
Academic Search Ultimate,"A multidisciplinary database, covering a wide array of subject areas ranging from astronomy, biomedicine, engineering, health, and literacy to mathematics, women's studies, zoology and more. The database includes magazines, peer reviewed and scholarly journals, trade publications, newspapers, reports, books and videos. <br />  <br />  Availability: Full-text and bibliographic citations<br />  Date Coverage: 1890 - present"
Academic Video Online: Eastern Version,"A comprehensive video collection published by Alexander Street video from ProQuest. The collection includes documentaries, feature films, interviews, performances, skills-based training videos, demonstrations, and more. Academic Video Online covers a wide range of topics from anthropology to zoology including art, business, media studies, education, music, dance, theater and much more.<br />  Availability: Videos"
Academy of Management,"Academy of Management is the leading association for management and organization scholars, publishing nine scholarly  journals. Sample journal titles are: the Academy of Management Journal, the Academy of Management Review, and the Academy of Management Discoveries.<br />  <br />  Availability: Full-text<br />  Date Coverage: Current + 1 year"
Access Anesthesiology,"Regularly updated online collection of the most current clinical anesthesiology resources (books, multimedia, case studies, drug Information, practice guidelines and interactive self-assessment) from the basics to specialty-specific content--- optimized for viewing on any device.<br />  Availability: Full-text and videos<br />  Note: Adobe's Free Flash player (version 8 or higher) plug-in is required to view all videos.<br />  "
Access Emergency Medicine,"This comprehensive online emergency medicine resource provides quick diagnosis and treatment answers for a broad spectrum of complaints encountered in the ED, ranging from neurologic and pediatric emergencies, to poisoning and trauma – specifically designed for optimized viewing on any device. This database from McGraw-Hill offers books, multimedia, case studies, drug information, interactive self-assessment, patient education, and a clerkship corner.<br />  Availability: Full-text and videos<br />  Note: Adobe's Free Flash player (version 8 or higher) plug-in is required to view all videos.<br />  "
Access Engineering,"Full-text database providing access to engineering books and reference works. It covers various engineering topics (bio, chemical, civil, electrical, petroleum, mechanical...) and comprises interactive graphs and tables, instructional videos, maps, and global engineering news.  <br />  <br />  Date Coverage: Current<br />  Note: Adobe's Free Flash player (version 8 or higher) plug-in is required to view all videos.<br />  Limitations: 45 users at a time"
Access Medicine,"A reference resource from McGraw-Hill that provides clinical and educational content from leading books.<br />  It has access to more than 65 medical titles in medicine, updated content, images and illustrations, case files, interactive self-assessment, time-saving diagnostic, etc. <br />  <br />  Date Coverage: Current<br />  Note: Adobe's Free Flash player (version 8 or higher) plug-in is required to view all videos.<br />  Limitations: 45 users at a time"
Access Neurology,"Regularly updated online collection of the most current neurology resources (books, multimedia, case studies, drug information, review questions and a clerkship corner) from the basics to specialty-specific content--- optimized for viewing on any device.<br />  Availability: Full-text and videos<br />  Note: Adobe's Free Flash player (version 8 or higher) plug-in is required to view all videos.<br />  "
Access ObGyn,"This database from McGraw-Hill Medical offers a new approach to obstetrics and gynecology reference and research – all in one place. Updated regularly, this comprehensive online ObGyn resource covers the entire spectrum of obstetrics and gynecology–for viewing on any device. It includes books, multimedia, case studies, drug information, review questions and a clerkship corner. <br />  Availability: Full-text and videos<br />  <br />  Note: Adobe's Free Flash player (version 8 or higher) plug-in is required to view all videos."
Access Pediatrics,"Online resource from McGraw-Hill, providing a broad range of pediatric practice, from neonatology through adolescent medicine. It offers books, multimedia, case studies, drug information, guidelines, board review, patient education, and a clerkship corner.<br />  Availability: Full-text and videos<br />  Note: Adobe's Free Flash player (version 8 or higher) plug-in is required to view all videos.<br />  "
Access Pharmacy,"A collection of online books from McGraw-Hill medical designed to meet the changing demands of pharmacy education. It allows students to select a core curriculum topic, browse by organ system, review textbooks, search across leading pharmacy online references. Sample titles are ‘Basic & Clinical Pharmacology’ and ‘Drug Information: A Guide for Pharmacists.’ Access Pharmacy includes more than 150 drug-therapy cases with Q&A, drug interaction animation, instructional videos, care plans, diagnostics test, pharmacotherapy news and more."
Access Physiotherapy,"This online resource is devoted exclusively to the study, instruction, and practice of physical therapy – with groundbreaking content for today’s PT. This database from McGraw-Hill offers books, multimedia, case studies, drug information, self-assessment tools and a unique cadaver dissection tool.<br />  Availability: Full-text and videos<br />  Note: Adobe's Free Flash player (version 8 or higher) plug-in is required to view all videos.<br />  "
Access Surgery,"This resource from McGraw-Hill introduces a whole new dimension to surgical education and clinical practice. Updated regularly, this comprehensive online surgery resource enhances medical knowledge and delivers quick answers to surgical inquiries – all in one place. This database offers books, multimedia, case studies, drug information, interactive self-assessment, patient education, and a clerkship corner.<br />  Availability: Full-text and videos<br />  Note: Adobe's Free Flash player (version 8 or higher) plug-in is required to view all videos.<br />  "
ACM Digital Library,"A collection of full-text articles and bibliographic records covering the field of computing and information technology. The database includes the complete collection of ACM's publications, including journals, conference proceedings, magazines, newsletters, and multimedia titles. All journals are accessible from volume one, issue one. <br />  <br />  Availability: Full-text and bibliographic citations<br />  Date Coverage: All from v.1"
ACS Publications:  from Off-Campus users have to click on find my institution and put &quot;American University of Beirut&quot; to have full access.,"The American Chemical Society is the leading publisher of peer-reviewed research in the chemical and related sciences, publishing 54 research journals plus Chemical & Engineering News, a weekly newsmagazine, the ACS Symposium Series, plus some reference books. All 54 journals are accessible from volume one, issue one. <br />  <br />  Availability: Full-Text<br />  Date Coverage: Varies"
Acta Sanctorum,"An essential reference work, examining the lives of Christian saints, organized according to each saint's feast day, and runs from the two January volumes published in 1643 to the Propylaeum to December published in 1940. Contains prefatory material, original texts, critical apparatus and indices, Bibliotheca Hagiographica Latina reference numbers, and more.  <br />  <br />  Availability: Full-text<br />  Date coverage: 1643-1940"
Agricola,"Produced by the National Agricultural Library, Agricola is a bibliographic database covering all aspects of agriculture and allied disciplines, and containing citations to journal articles, book chapters, conference proceedings, dissertations, government documents, reports, patents. <br />  <br />  Availability: Bibliographic citations<br />  Date Coverage: 1700-"
AIP Publishing (American Institute of Physics),AIP provides the global physical sciences community with a comprehensive collection of highly cited peer-reviewed scientific information coming from journals and conference proceedings. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1999 to present
Al Mandumah Dissertations,
Al Manhal = المنهل,"Arabic database providing access to full-text searchable publications from the Arab world’s leading publishers, universities and research centers. Covers a wide range of topics: business, history, geography, Islamic studies, language and literature, political science, social sciences, science and technology. Includes books, journals, strategic studies, dissertations and videos. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1973 to present"
Al Sharekh Archives = أرشيف الشارخ,"Al Sharekh Archives is an Arabic digitization initiative focusing on the content of literary journals. The Archives provide online access to the content of 228 Arabic literary journals, from 23 Arab countries, dating from the early Arab renaissance (al Nahda) in the mid-nineteenth century to the end of the twenty-first century. Among the journals are Al-Muqtataf, Al-Muqtabas, Al-Hilal, Al-Adib, Al-Ustadh, Al-Mashriq, Al-Jamaa and others. <br />  Availability: Full text"
Al-Ahram Digital Archive (1876 - Present),"Al-Ahram (الأهرام, “The Pyramids”) is one of the most prominent Arabic newspapers in the Middle East, including its legacy as Egypt’s most authoritative and influential national daily. Al-Ahram Digital Archive contains all obtainable published issues from 1875 to 2014, with additional years’ worth of content added on a regular basis. <br />  Availability: Full image and Full text <br />  Date Coverage: 1876 - Present"
Al-Fikr,
Al-Hayat = الحياة,Digitized copy of Al-Hayat newspaper (1950-2000)<br />  Availability: Full Text<br />  Print Equivalent: Al-Hayat Daily<br />  Note: Searchable only by Date
Al-Mustashār fī al-Qānūn = المستشار في القانون,"Legal database, providing index and full-text access to the Lebanese Official Gazette  الجريدة الرسمية and Lebanese laws since 1920. It Contains all the Lebanese laws and legislation (decrees, circulars, and decisions) since the Ottoman period to the present with their amendments. <br />  <br />  Availability: Full-text<br />  Date Coverage: 1920 to present<br />  Limitation: Accessible only at the Reference Desk - Jafet Library. <br />  Authentication is held by the Reference Department (e-mail: jftref@aub.edu.lb – ext.: 2620/1) who will assist users in accessing full text articles."
